id,title,contest,hint,category_1,category_2,category_3
strplay,Play with words,,,动态规划,,
synchronous-shopping,,,,最短路径,,
cuttree,Cut Tree,,,动态规划,,
two-robots,,,,动态规划,,
mr-k-marsh,,,,动态规划,贪心,
stockmax,Stock Maximize,,,动态规划,,
brick-tiling,,,状态压缩,动态规划,,
lego-blocks,,,,动态规划,,
torque-and-development,Roads and Libraries,,,搜索,,
journey-to-the-moon,,,,搜索,,
angry-children-2,,,,动态规划,,
prime-digit-sums,,,,动态规划,,
sherlocks-array-merging-algorithm,,,,动态规划,排列组合,
bob-and-ben,,,,Sprague-Grundy,,
new-year-chaos,,,,Binary Indexed Tree,,
xor-and-sum,,,,动态规划,,
substring-diff,,,,动态规划,,
prime-xor,,,,动态规划,,
kingdom-division,,,,搜索,动态规划,
string-function-calculation,,,,后缀数组,,
suffix-rotation,,w28,,搜索,,
choosing-white-balls,,w28,,搜索,,
value-of-friendship,,w28,,搜索,贪心,
lucky-number-eight,,w28,,动态规划,,
simplified-chess-engine-ii,,w27,,搜索,模拟,
zero-move-nim,,w27,,Sprague-Grundy,,
hackonacci-matrix-rotations,,w27,,找规律,,
tailor-shop,,w27,,贪心,,
tower-breakers-revisited-1,"Tower Breakers, Revisited!",,,Sprague-Grundy,,
tower-breakers-again-1,"Tower Breakers, Again!",,,Sprague-Grundy,,
chessboard-game-again-1,"Chessboard Game, Again!",,,Sprague-Grundy,,
digits-square-board-1,Digits Square Board,,,Sprague-Grundy,,
stone-division,,,,Sprague-Grundy,,
chocolate-in-box,,,,Sprague-Grundy,,
twins,,w26,,素数,,
street-parade-1,Music on the Street,w26,,贪心,,
pairs-again,Satisfactory Pairs,w26,,暴力,,
hard-homework,,w26,,动态规划,,
