id,title,contest,hint,category_1,category_2,category_3
1,,,,暴力,,
2,,,,暴力,,
3,,,素数打表,素数,,
4,,,回文,暴力,,
5,,,笔算,暴力,,
6,,,,暴力,,
7,,,素数打表,素数,,
8,,,,暴力,,
9,,,,暴力,毕达哥拉斯三元组,
10,,,,素数,,
11,,,,暴力,,
12,,,,暴力,,
13,,,,高精度计算,,
14,,,数据缓存,暴力,,
15,,,,动态规划,,
16,,,,高精度计算,,
17,,,用num2words库转换,模拟,,
18,,,,动态规划,,
19,,,时间计算,模拟,,
20,,,计算100!,高精度计算,,
21,,,求因数和,暴力,,
22,,,,模拟,,
23,,,排除法,暴力,,
24,,,,排列组合,,
25,,,,高精度计算,,
26,,,计算小数循环周期,高精度计算,,
27,,,,素数,,
28,,,,模拟,,
29,,,两位数a^b,高精度计算,,
30,,,问题规模分析,暴力,,
31,,,,动态规划,,
32,,,问题规模分析,暴力,,
33,,,最大公约数,暴力,,
34,,,问题规模分析,暴力,,
35,,,,素数,,
36,,,回文,进制转换,,
37,,,,素数,,
38,,,问题规模分析,暴力,,
39,,,,暴力,,
40,,,计算x位数组成的IDF区间长度用于快速定位dn,动态规划,,
41,,,问题规模分析,排列组合,素数,
42,,,,模拟,,
43,,,,暴力,,
44,,,,暴力,,
45,,,,暴力,,
46,,,,暴力,,
47,,,,暴力,,
48,,,,暴力,,
49,,,,素数,,
50,,,滑动窗口,素数,,
51,,,问题规模分析,暴力,,
52,,,,暴力,,
53,,,,排列组合,,
54,,,德州扑克比大小,模拟,,
55,,,,高精度计算,,
56,,,,高精度计算,,
57,,,,暴力,,
58,,,,素数,模拟,
59,,,,暴力,,
60,,,,素数,搜索,
61,,,,搜索,,
62,,,遍历开方数，以数位最小排列为key统计出现次数,暴力,,
63,,,问题规模分析,暴力,,
64,,,,连分数,,
65,,,,连分数,,
66,,,,丢番图不定式,连分数,
67,,,,动态规划,,
68,,,,推理,,
69,,,,欧拉函数,,
70,,,,欧拉函数,,
71,,,,暴力,,
72,,,,欧拉函数,,
73,,,,暴力,,
74,,,数据缓存,暴力,,
75,,,,毕达哥拉斯三元组,,
76,,,,动态规划,,
77,,,,素数,动态规划,
78,,,,分拆函数,,
79,,,,搜索,拓扑排序,
80,,,用python decimal库计算,高精度计算,,
81,,,,动态规划,,
82,,,,动态规划,,
83,,,,最短路径,,
84,,,,马尔科夫链,模拟,
85,,,,动态规划,,
86,,,,毕达哥拉斯三元组,搜索,
87,,,,素数,,
88,,,问题规模分析,积和数,搜索,
89,,,罗马数转换,模拟,,
90,,,,搜索,,
91,,,,暴力,,
92,,,数据缓存,暴力,,
93,,,问题规模分析,暴力,模拟,
94,,,,海伦公式,丢番图不定式,
95,,,打表求因子和,素数,搜索,
96,,,,模拟,搜索,状态压缩
97,,,,快速求幂,,
98,,,输入预处理,暴力,,
99,,,用log(x)<log(y)代替x<y,暴力,,
100,,,,丢番图不定式,,
101,,,,高斯消元,拉格朗日插值,
102,,,凸多边形包含点判定,计算几何,,
104,,,,数论分析,暴力,
107,,,,最小生成树,,
109,,,,暴力,,
